序号,年份,学科门类,项目类别,项目名称,申请人,学校名称
88.0,2011,法学,规划基金项目,社区矫正的风险评估与管控机制研究,冯卫国,西北政法大学
89.0,2011,法学,规划基金项目,专利添附制度研究——以中国高铁技术创新与发展为例,陈家宏,西南交通大学
90.0,2011,法学,规划基金项目,社会管理创新下的西部民族地区多元纠纷解决机制研究,刘永强,西南科技大学
91.0,2011,法学,规划基金项目,城乡统筹背景下“小产权房”法律规制研究,吴爱辉,西南民族大学
92.0,2011,法学,规划基金项目,量刑程序中的证据和证明问题研究,张吉喜,西南政法大学
93.0,2011,法学,规划基金项目,风险社会视域下中立参与行为的刑法边界研究——以177个案例和23个司法解释为,李邦友,西南政法大学
94.0,2011,法学,规划基金项目,完善我国农村土地征收补偿法律制度研究,吴春燕,西南政法大学
95.0,2011,法学,规划基金项目,涉台民商事案件法律适用问题研究——以司法解释为切入点,于飞,厦门大学
96.0,2011,法学,规划基金项目,借鉴与移植：外来宪政文化对中国的影响,夏新华,湘潭大学
97.0,2011,法学,规划基金项目,知识产权战略视野下新疆传统知识法律保护研究,王芳,新疆大学
98.0,2011,法学,规划基金项目,反假冒贸易协定的挑战与对策研究,宋红松,烟台大学
99.0,2011,法学,规划基金项目,公民网络监督法律机制研究,丁大晴,盐城师范学院
100.0,2011,法学,规划基金项目,我国社区矫正中人身危险性评估研究,刘立霞,燕山大学
101.0,2011,法学,规划基金项目,信托制度的民法分析与民法典信托编的制定,刘正峰,扬州大学
102.0,2011,法学,规划基金项目,共有权行使的制度创新,胡吕银,扬州大学
103.0,2011,法学,规划基金项目,国家补充责任研究,陈恩才,扬州大学
104.0,2011,法学,规划基金项目,法律起源与国家法形成规律探析—以西南少数民族神话等文本为例,陈永邺,云南大学
105.0,2011,法学,规划基金项目,我国政府非税收入收缴管理规范化研究,谭立,浙江大学城市学院
106.0,2011,法学,规划基金项目,中国古代婚姻变动中的妇女权益保障机制及其理念研究,崔兰琴,浙江工商大学
107.0,2011,法学,规划基金项目,监狱法修订若干问题研究,汪勇,浙江工业大学
108.0,2011,法学,规划基金项目,当代中国新商人法研究,戴剑波,浙江工业大学
109.0,2011,法学,规划基金项目,法典化语境中的人格权法,欧世龙,浙江万里学院
110.0,2011,法学,规划基金项目,商标使用类型化研究,张德芬,郑州大学
111.0,2011,法学,规划基金项目,现行宪法颁布30年实施状况研究,韩大元,中国人民大学
112.0,2011,法学,规划基金项目,关于“错法”及其纠正机制问题研究,史际春,中国人民大学
113.0,2011,法学,规划基金项目,我国社会转型期的警察权配置问题研究,高文英,中国人民公安大学
114.0,2011,法学,规划基金项目,社会保障权救济模式研究,薛小建,中国政法大学
115.0,2011,法学,规划基金项目,投资非洲争议解决问题研究,祁欢,中国政法大学
116.0,2011,法学,规划基金项目,电子商务中的商标使用和商标侵权研究,张今,中国政法大学
117.0,2011,法学,规划基金项目,跨国破产法适用问题比较研究,张玲,中国政法大学
118.0,2011,法学,规划基金项目,集体土地所有权的宪法地位及其效力研究,张吕好,中国政法大学
119.0,2011,法学,规划基金项目,法律硕士研究生培养模式和培养质量评价体系研究,王振峰,中国政法大学
120.0,2011,法学,规划基金项目,传统中国的能动司法模式研究——以应对“小事闹大”诉告策略的司法艺术为中心,陈会林,中南财经政法大学
121.0,2011,法学,规划基金项目,中国古代契约制度及文化研究,春杨,中南财经政法大学
122.0,2011,法学,规划基金项目,电子商务中消费争端解决制度研究,刘益灯,中南大学
123.0,2011,法学,规划基金项目,公司治理的非正式制度依赖与变迁研究,孙光焰,中南民族大学
124.0,2011,法学,规划基金项目,“环境优先”原则的法律确立与制度回应研究,唐绍均,重庆大学
125.0,2011,法学,规划基金项目,刑事卷证移送制度改革研究,唐治祥,重庆三峡学院
126.0,2011,法学,青年基金项目,国际法院解决领土争端中的证据问题研究,张卫彬,安徽财经大学
127.0,2011,法学,青年基金项目,从引证看法学领域内外部知识交互影响实证研究,高毅,安徽财经大学
128.0,2011,法学,青年基金项目,中国证券市场对外开放监管法律制度研究,蒋辉宇,安徽财经大学
129.0,2011,法学,青年基金项目,“非理性维权”问题研究,陈晓峰,安徽大学
130.0,2011,法学,青年基金项目,发展农业再保险的财政法律制度研究,龚伟,安徽农业大学
131.0,2011,法学,青年基金项目,食品侵权责任研究,赵存喜,安徽医科大学
132.0,2011,法学,青年基金项目,风险规制与行政法治——基于公私区分与互动的视角,金自宁,北京大学
133.0,2011,法学,青年基金项目,失地农民融入城市社区过程中的利益冲突及其法律调整研究,董彪,北京工商大学
134.0,2011,法学,青年基金项目,基本权利的概括限制研究——以我国宪法第51条为中心,王锴,北京航空航天大学
135.0,2011,法学,青年基金项目,刑事诉讼视野下的犯罪构成要件——基于刑事诉讼法与刑法互动的研究,陶杨,北京交通大学
136.0,2011,法学,青年基金项目,欧盟民法典草案研究,付俊伟,北京理工大学
137.0,2011,法学,青年基金项目,生物技术背景下植物育种创新的知识产权保护研究,李菊丹,北京联合大学
138.0,2011,法学,青年基金项目,农业转基因生物国际贸易的法律调整——基于中国视角的研,佟占军,北京农学院
139.0,2011,法学,青年基金项目,刑民交叉案件的程序处理,毛立新,北京师范大学
140.0,2011,法学,青年基金项目,民事无财产可供执行案件研究,刘静,北京外国语大学
141.0,2011,法学,青年基金项目,中国小产权房实证调查与法规对策研究,高亚军,长安大学
142.0,2011,法学,青年基金项目,近代立宪观念史的演变逻辑——从鸦片战争到辛亥革命,王勇,大连海事大学
143.0,2011,法学,青年基金项目,自然遗产保护的现实困境与法律对策,马明飞,大连海事大学
144.0,2011,法学,青年基金项目,不完全契约研究,吴煦,大连海事大学
145.0,2011,法学,青年基金项目,继承法修改中的重大疑难问题研究,刘耀东,大连海洋大学
146.0,2011,法学,青年基金项目,推进高端装备制造产业技术创新联盟发展的政策法律对策研,王越,大连理工大学
147.0,2011,法学,青年基金项目,中国死刑观念的现状、形成机理及其重塑研究,曾赛刚,大庆师范学院
148.0,2011,法学,青年基金项目,我国建立REDD机制国内法律框架问题研究,荆珍,东北林业大学
149.0,2011,法学,青年基金项目,劳动者工作环境权研究,张晓阳,东北师范大学
150.0,2011,法学,青年基金项目,网络游戏与青少年犯罪相关性的实证研究,刘亚娜,东北师范大学
151.0,2011,法学,青年基金项目,稀有金属矿产资源开发生态补偿法律问题研究,戴茂华,东华理工大学
152.0,2011,法学,青年基金项目,生命权的伦理反思和制度重构,马特,对外经济贸易大学
153.0,2011,法学,青年基金项目,“国家与社会”视角下的民事司法改革,陈杭平,对外经济贸易大学
154.0,2011,法学,青年基金项目,罪量视野下的犯罪论体系诸问题之困境与出路,彭文华,佛山科学技术学院
155.0,2011,法学,青年基金项目,慈善法人研究,王雪琴,佛山科学技术学院
156.0,2011,法学,青年基金项目,基因医疗技术的法律问题研究——以权利冲突和损害救济为,王康,阜阳师范学院
157.0,2011,法学,青年基金项目,法国侵权责任法改革：传统特色与欧洲私法一体化的冲突与,李世刚,复旦大学
158.0,2011,法学,青年基金项目,公共政策的竞争评估,张占江,复旦大学
159.0,2011,法学,青年基金项目,中国古代的情理法研究,林曦,复旦大学
160.0,2011,法学,青年基金项目,南海油气资源合作与开发的制度及实践研究,许浩,广东海洋大学
161.0,2011,法学,青年基金项目,风险社会中事故型犯罪的监督过失研究,谢雄伟,广东商学院
162.0,2011,法学,青年基金项目,环境物权的公法逻辑——以公共权力对环境物权品格之型塑为视角,黄中显,广西民族大学
163.0,2011,法学,青年基金项目,西部农村地区人民调解制度的功能强化研究,胡辉,广西师范大学
164.0,2011,法学,青年基金项目,后危机时代衍生金融监管变革的法律问题研究,阳建勋,广州大学
165.0,2011,法学,青年基金项目,先合同责任研究,邱雪梅,广州大学
166.0,2011,法学,青年基金项目,我国运动员权益保护制度立法研究,蒙雪,广州体育学院
167.0,2011,法学,青年基金项目,《中国刑事卷宗制度研究》,李长城,贵州大学
168.0,2011,法学,青年基金项目,物权法视域下矿业权的权利构造与制度重塑研究,胡卫,贵州大学
169.0,2011,法学,青年基金项目,自然灾害时期的国家人权义务,廖艳,贵州大学
170.0,2011,法学,青年基金项目,要件事实理论在侵权案件中的适用研究,许可,国际关系学院
171.0,2011,法学,青年基金项目,法治视野中的中国行政道歉制度研究,王晨,哈尔滨理工大学
172.0,2011,法学,青年基金项目,食品安全监管研究——从化解社会失范的视角,陈仕学,杭州师范大学
173.0,2011,法学,青年基金项目,垄断行业搁置成本法律规制研究,徐金海,河海大学
174.0,2011,法学,青年基金项目,美国侵权法改革运动研究,王晓明,河南财经政法大学
175.0,2011,法学,青年基金项目,我国中央与地方权限争议法律解决机制研究,谭波,河南工业大学
176.0,2011,法学,青年基金项目,从“异子之科”到“别籍异财法”,尹成波,河南师范大学
177.0,2011,法学,青年基金项目,俄罗斯犯罪构成理论体系研究,庞冬梅,黑龙江大学
178.0,2011,法学,青年基金项目,土地整合背景下农民权益保护问题与对策研究,王佳慧,黑龙江大学
179.0,2011,法学,青年基金项目,俄罗斯矿产资源政策及矿产开发法律问题研究,李连祺,黑龙江大学
180.0,2011,法学,青年基金项目,社会风险防范和刑法义务构建,姚诗,湖南大学
181.0,2011,法学,青年基金项目,云计算技术相关版权法问题研究,喻玲,湖南大学
182.0,2011,法学,青年基金项目,侦查中的网络通讯监听法制化研究,欧阳爱,湖南工学院
183.0,2011,法学,青年基金项目,外国法查明中的“专家意见”制度比较研究,王葆莳,湖南师范大学
184.0,2011,法学,青年基金项目,我国应对多哈回合农业谈判未决议题的法律对策研究,何燕华,湖南师范大学
185.0,2011,法学,青年基金项目,中国早期佛教的法律调控研究,谢舟,湖州师范学院
186.0,2011,法学,青年基金项目,我国刑事扣押的理论与实践问题研究,张栋,华东政法大学
187.0,2011,法学,青年基金项目,全球化背景下国际税收行政合作机制研究,张泽平,华东政法大学
188.0,2011,法学,青年基金项目,对中国转型社会犯罪控制的新研究——以网络传播为视角,叶慧娟,华东政法大学
189.0,2011,法学,青年基金项目,雇主不当劳动行为认定基准与救济机制研究,饶志静,华东政法大学
190.0,2011,法学,青年基金项目,垄断行业的规制改革与竞争政策研究,施海渊,华东政法大学
191.0,2011,法学,青年基金项目,组织法视野中的商事信托研究,季奎明,华东政法大学
192.0,2011,法学,青年基金项目,后现代女性主义视野下的法律性别问题研究——以我国法律体系为文本的分析,马姝,华东政法大学
193.0,2011,法学,青年基金项目,住房租赁法的立法宗旨与制度建构——以承租人利益保护为,周珺,华东政法大学
194.0,2011,法学,青年基金项目,通过“良法”的自治：我国省级村民自治地方立法质量研究——基于法律实证的分,刘志鹏,华南师范大学
195.0,2011,法学,青年基金项目,私法惩罚论---以侵权法为中心,阳庚德,华南师范大学
196.0,2011,法学,青年基金项目,后金融危机时代审慎监管的国际协调与合作研究——以法律冲突为视角,吴永辉,华侨大学
197.0,2011,法学,青年基金项目,股指期货和股票现货跨市场交易风险的法律监管研究——以宏观审慎为中心,陈斌彬,华侨大学
198.0,2011,法学,青年基金项目,群体性纠纷的示范诉讼解决机制研究,陈慰星,华侨大学
199.0,2011,法学,青年基金项目,刑罚的科学设定与适用：基于比较法的一种技术性反思,李立丰,吉林大学
200.0,2011,法学,青年基金项目,上市公司重整中债权人与中小股东的法律保护,王佐发,吉林师范大学
201.0,2011,法学,青年基金项目,转型时期弱势群体犯罪防控研究,郭晓红,江西财经大学
202.0,2011,法学,青年基金项目,非常态司法——抗日战争对民国司法的影响,罗金寿,江西师范大学
203.0,2011,法学,青年基金项目,民事习惯在新疆法院调解和判决中的运用——以喀什地区为中心的调查和研究,江钦辉,喀什师范学院
204.0,2011,法学,青年基金项目,大规模产品侵权中的市场份额责任研究,蔡颖雯,鲁东大学
205.0,2011,法学,青年基金项目,医疗责任保险制度的法理基础分析和制度构建,吕群蓉,南方医科大学
206.0,2011,法学,青年基金项目,欧盟对外关系法与中欧关系的和谐发展,张华,南京大学
207.0,2011,法学,青年基金项目,转型时期法官裁判思维研究,蔡琳,南京大学
208.0,2011,法学,青年基金项目,公共政策进入司法的风险评估与规避,方乐,南京师范大学
209.0,2011,法学,青年基金项目,从公议到公断：清末民初的商事公断制度研究,张松,南京信息工程大学
210.0,2011,法学,青年基金项目,我国陆源污染防治法律制度研究,戈华清,南京信息工程大学
211.0,2011,法学,青年基金项目,网络服务提供者的侵权认定与责任承担研究,蒋洁,南京信息工程大学
212.0,2011,法学,青年基金项目,市场交易中法律规避现象的实证研究,董淳锷,清华大学
213.0,2011,法学,青年基金项目,健康权的国家义务研究,邓海娟,三峡大学
214.0,2011,法学,青年基金项目,我国人体基因科技发展的人权保障研究-立法的视角,沈秀芹,山东大学
215.0,2011,法学,青年基金项目,温室气体排放控制法律制度研究,刘明明,山东科技大学
216.0,2011,法学,青年基金项目,农村留守妇女婚姻权益法律保护调查研究,王绍霞,山东女子学院
217.0,2011,法学,青年基金项目,“诉讼文化冲突”视野下的民事诉讼法修改研究,王德新,山东师范大学
218.0,2011,法学,青年基金项目,预防性行政诉讼研究,赵清林,上海大学
219.0,2011,法学,青年基金项目,经营者集中反垄断救济措施运行机制研究,李俊峰,上海大学
220.0,2011,法学,青年基金项目,新形势下金融稳定和投资者保护法律制度研究——以金融系统性风险为视角,蔺捷,上海对外贸易学院
221.0,2011,法学,青年基金项目,债务人财产查明制度研究,赵秀举,上海交通大学
222.0,2011,法学,青年基金项目,土地承包经营权集合信托模式的建构逻辑与制度设计——土地承包经营权实现方式,徐卫,上海交通大学
223.0,2011,法学,青年基金项目,当代刑事政策转型与刑法解释发展互动研究,卫磊,上海政法学院
224.0,2011,法学,青年基金项目,公共选择与协商民主：行政决策的法治化路径探析,黄辉,上海政法学院
225.0,2011,法学,青年基金项目,经营者集中控制制度中的资产剥离问题研究,丁茂中,上海政法学院
226.0,2011,法学,青年基金项目,司法制度评价体系研究,高志刚,上海政法学院
227.0,2011,法学,青年基金项目,基于药品可及性的专利法律机制创新研究,姚颉靖,上海政法学院
228.0,2011,法学,青年基金项目,以建立个人破产制度促进个人信用体系完善的中国式方案,齐砺杰,深圳大学
229.0,2011,法学,青年基金项目,刑法拟制研究,李凤梅,沈阳师范大学
230.0,2011,法学,青年基金项目,刑事诉讼中的“软法”研究,刘磊,苏州大学
231.0,2011,法学,青年基金项目,民族地区农村纠纷调解机制研究——以新疆为例,赵新颖,塔里木大学
232.0,2011,法学,青年基金项目,法律经济学的中国式探索——以中央与地方分权为中心,陈正华,天津工业大学
233.0,2011,法学,青年基金项目,风险刑法基础理论研究,张晶,天津师范大学
234.0,2011,法学,青年基金项目,医疗损害责任认定的裁判规则及类型化研究,石旭雯,天津医科大学
235.0,2011,法学,青年基金项目,体面劳动的国家义务及实效评估研究,徐钢,同济大学
236.0,2011,法学,青年基金项目,欧盟反垄断法域外适用研究,于馨淼,同济大学
237.0,2011,法学,青年基金项目,慈善信义关系立法研究,王继远,五邑大学
238.0,2011,法学,青年基金项目,法社会学视野下我国毒品犯罪治理机制研究——兼论毒品犯罪的死刑控制,何荣功,武汉大学
239.0,2011,法学,青年基金项目,1987-2010:省市区三级法院行政审判实务研究,徐晨,武汉大学
240.0,2011,法学,青年基金项目,从民意表达到和谐司法——公益诉讼中的法庭之友研究,项焱,武汉大学
241.0,2011,法学,青年基金项目,知识产权侵权赔偿标准实证研究,李承亮,武汉大学
242.0,2011,法学,青年基金项目,2012年后中国实施清洁发展机制(CDM)法律问题研究,蒋小翼,武汉大学
243.0,2011,法学,青年基金项目,英国内阁制度研究,陶军,武汉大学
244.0,2011,法学,青年基金项目,农村发展与农民土地权益保护的法律问题研究——以陕西为,史卫民,西安财经学院
245.0,2011,法学,青年基金项目,唐朝丝绸之路贸易管理法律制度研究,李叶宏,西安邮电学院
246.0,2011,法学,青年基金项目,房屋质量法律规制比较研究,王思锋,西北大学
247.0,2011,法学,青年基金项目,柏拉图《法》之潘高译疏本的翻译与研究,苏婉儿,西北师范大学
248.0,2011,法学,青年基金项目,司法权优化视域下的刑事办案期间研究,姚剑,西北政法大学
249.0,2011,法学,青年基金项目,农村土地承包经营权流转法律制度完善研究,袁震,西北政法大学
250.0,2011,法学,青年基金项目,能动司法时代的法律方法论问题研究——基于中国法律学研究立场的展开,王国龙,西北政法大学
251.0,2011,法学,青年基金项目,管制性征收研究,彭涛,西北政法大学
252.0,2011,法学,青年基金项目,中国量刑指导制度研究：以量刑指导意见为切入点,郝川,西南大学
253.0,2011,法学,青年基金项目,《老子》法观念研究——开启中国自然法的价值体系,费小兵,西南科技大学
254.0,2011,法学,青年基金项目,《涉外民事关系法律适用法》实施机制研究——冲突法拘束力之硬化,张春良,西南政法大学
255.0,2011,法学,青年基金项目,实际控制人法律制度研究,徐来,西南政法大学
256.0,2011,法学,青年基金项目,国家粮食安全战略下的植物新品种保护制度重构研究——以生态政治学为视角,牟萍,西南政法大学
257.0,2011,法学,青年基金项目,藏区赔命价习惯法研究,周欣宇,西南政法大学
258.0,2011,法学,青年基金项目,解雇保护制度研究,熊晖,西南政法大学
259.0,2011,法学,青年基金项目,不可分之债研究——以我国多数人之债制度的完善为中心,齐云,厦门大学
260.0,2011,法学,青年基金项目,《司法过程的方法论解析与构造》,周赟,厦门大学
261.0,2011,法学,青年基金项目,纳米稀土荧光粉显现潜在指纹的应用研究,谢安,厦门理工学院
262.0,2011,法学,青年基金项目,少数民族犯罪问题研究——以新疆地区为考察中心,艾尔肯·沙木,新疆大学
263.0,2011,法学,青年基金项目,违法行政行为治愈制度研究,张峰振,徐州师范大学
264.0,2011,法学,青年基金项目,广告侵权责任研究,李轶,烟台大学
265.0,2011,法学,青年基金项目,调控受体信赖利益的司法保护,陈承堂,扬州大学
266.0,2011,法学,青年基金项目,跨境恐怖主义犯罪与西部边疆民族地区稳定研究,高巍,云南大学
267.0,2011,法学,青年基金项目,规范社团行政权力的原理与技术,方洁,浙江大学城市学院
268.0,2011,法学,青年基金项目,反补贴领域中“利益”判定基准问题研究,蒋奋,浙江大学宁波理工学
269.0,2011,法学,青年基金项目,网络版权侵权判决的实证研究——以省际法院“差异判决”为考察中心,牛强,浙江工商大学
270.0,2011,法学,青年基金项目,国际法上的司法干涉问题研究,宋杰,浙江工商大学
271.0,2011,法学,青年基金项目,商业言论及其法律规制,应振芳,浙江工商大学
272.0,2011,法学,青年基金项目,刑事辩护律师与委托人的关系：模式选择与规范重建,张曙,浙江工业大学
273.0,2011,法学,青年基金项目,现场检查研究,刘铮,浙江农林大学
274.0,2011,法学,青年基金项目,清季民初小说世界与法制叙事研究,温荣,浙江师范大学
275.0,2011,法学,青年基金项目,WTO体制下中国文化政策法规的困境与出路,马冉,郑州大学
276.0,2011,法学,青年基金项目,解释论视角下的解雇权限制问题研究,李国庆,郑州航空工业管理学
277.0,2011,法学,青年基金项目,清代夫妻相犯研究：基于《大清律例》与刑科档案的考察,钱泳宏,郑州轻工业学院
278.0,2011,法学,青年基金项目,中国参与若干重要多边环境条约的修订发展与实施问题研究,陈晓华,中国青年政治学院
279.0,2011,法学,青年基金项目,康德法学思想研究及其对我国法治建构的启示,张龑,中国人民大学
280.0,2011,法学,青年基金项目,公私合作制与行政法改革,喻文光,中国人民大学
281.0,2011,法学,青年基金项目,行政审判中的法律适用方法研究,王旭,中国人民大学
282.0,2011,法学,青年基金项目,财产法中的基本权利问题研究,张翔,中国人民大学
